cluster_id,latitude,longitude,first_seen,last_seen,duration_hours,detection_count,average_frp,maximum_frp,average_brightness,detections_7d,detections_30d,unique_detection_days,persistence,confidence,primary_satellite,distance_to_center_km,detection_ids
EVENT_11851,31.0763,75.94303,2026-05-16 07:44,2026-05-16 07:44,0.0,2,4.86,6.29,341.95,2,2,1,Transient,nominal,N21,22.715,"['FIRMS_N21_20260516_0744_31.0764N_75.9415E', 'FIRMS_N21_20260516_0744_31.0762N_75.9446E']"
EVENT_11852,31.01166,75.62776,2026-05-16 07:44,2026-05-16 07:44,0.0,1,9.34,9.34,339.92,1,1,1,Transient,low,N21,29.923,['FIRMS_N21_20260516_0744_31.0117N_75.6278E']
EVENT_11853,31.10517,76.03713,2026-05-16 07:44,2026-05-16 07:44,0.0,1,7.34,7.34,341.0,1,1,1,Transient,low,N21,28.743,['FIRMS_N21_20260516_0744_31.1052N_76.0371E']
EVENT_11854,31.0665,75.79269,2026-05-16 07:44,2026-05-16 07:44,0.0,1,10.44,10.44,340.9,1,1,1,Transient,low,N21,23.499,['FIRMS_N21_20260516_0744_31.0665N_75.7927E']
EVENT_11855,31.0379,75.64299,2026-05-16 07:44,2026-05-16 07:44,0.0,1,11.82,11.82,346.95,1,1,1,Transient,nominal,N21,30.317,['FIRMS_N21_20260516_0744_31.0379N_75.6430E']
EVENT_11856,31.0872,75.841,2026-05-16 07:44,2026-05-16 07:44,0.0,1,11.15,11.15,344.7,1,1,1,Transient,low,N21,24.156,['FIRMS_N21_20260516_0744_31.0872N_75.8410E']
EVENT_11857,31.15104,76.16064,2026-05-16 07:44,2026-05-16 07:44,0.0,1,6.49,6.49,339.72,1,1,1,Transient,low,N21,39.523,['FIRMS_N21_20260516_0744_31.1510N_76.1606E']
EVENT_11858,31.09087,75.84009,2026-05-16 07:44,2026-05-16 07:44,0.0,1,11.15,11.15,353.81,1,1,1,Transient,nominal,N21,24.573,['FIRMS_N21_20260516_0744_31.0909N_75.8401E']
EVENT_11859,31.07708,75.74702,2026-05-16 07:44,2026-05-16 07:44,0.0,1,7.56,7.56,340.4,1,1,1,Transient,low,N21,26.651,['FIRMS_N21_20260516_0744_31.0771N_75.7470E']
EVENT_1186,31.04221,76.19905,2025-05-04 08:00,2025-05-04 08:00,0.0,1,2.17,2.17,334.51,1,1,1,Transient,nominal,N20,34.125,['FIRMS_N20_20250504_0800_31.0422N_76.1990E']
EVENT_11860,31.05043,75.60703,2026-05-16 07:44,2026-05-16 07:44,0.0,1,15.04,15.04,348.84,1,1,1,Transient,nominal,N21,33.913,['FIRMS_N21_20260516_0744_31.0504N_75.6070E']
EVENT_11861,31.17014,76.2228,2026-05-16 07:44,2026-05-16 07:44,0.0,1,4.47,4.47,338.69,1,1,1,Transient,low,N21,45.028,['FIRMS_N21_20260516_0744_31.1701N_76.2228E']
EVENT_11862,31.16553,76.17767,2026-05-16 07:44,2026-05-16 07:44,0.0,1,4.5,4.5,338.97,1,1,1,Transient,low,N21,41.797,['FIRMS_N21_20260516_0744_31.1655N_76.1777E']
EVENT_11863,31.1084,75.85167,2026-05-16 07:44,2026-05-16 07:44,0.0,1,5.81,5.81,339.04,1,1,1,Transient,low,N21,26.265,['FIRMS_N21_20260516_0744_31.1084N_75.8517E']
EVENT_11864,31.10649,75.8415,2026-05-16 07:44,2026-05-16 07:44,0.0,1,14.85,14.85,350.83,1,1,1,Transient,nominal,N21,26.239,['FIRMS_N21_20260516_0744_31.1065N_75.8415E']
EVENT_11865,31.08324,75.71846,2026-05-16 07:44,2026-05-16 07:44,0.0,1,6.9,6.9,339.37,1,1,1,Transient,low,N21,28.766,['FIRMS_N21_20260516_0744_31.0832N_75.7185E']
EVENT_11866,31.08693,75.71752,2026-05-16 07:44,2026-05-16 07:44,0.0,1,15.83,15.83,344.4,1,1,1,Transient,low,N21,29.149,['FIRMS_N21_20260516_0744_31.0869N_75.7175E']
EVENT_11867,31.13657,75.96111,2026-05-16 07:44,2026-05-16 07:44,0.0,1,3.79,3.79,336.87,1,1,1,Transient,low,N21,29.623,['FIRMS_N21_20260516_0744_31.1366N_75.9611E']
EVENT_11868,31.15143,76.02036,2026-05-16 07:44,2026-05-16 07:44,0.0,1,11.99,11.99,348.45,1,1,1,Transient,nominal,N21,32.794,['FIRMS_N21_20260516_0744_31.1514N_76.0204E']
EVENT_11869,31.15561,75.94052,2026-05-16 07:44,2026-05-16 07:44,0.0,1,4.01,4.01,337.43,1,1,1,Transient,low,N21,31.39,['FIRMS_N21_20260516_0744_31.1556N_75.9405E']
EVENT_1187,31.07191,76.19321,2025-05-04 08:00,2025-05-04 08:00,0.0,1,2.56,2.56,333.48,1,1,1,Transient,nominal,N20,35.58,['FIRMS_N20_20250504_0800_31.0719N_76.1932E']
EVENT_11870,31.18866,76.01629,2026-05-16 07:44,2026-05-16 07:44,0.0,1,3.93,3.93,336.48,1,1,1,Transient,low,N21,36.573,['FIRMS_N21_20260516_0744_31.1887N_76.0163E']
EVENT_11871,31.1522,75.81931,2026-05-16 07:44,2026-05-16 07:44,0.0,1,10.83,10.83,347.42,1,1,1,Transient,nominal,N21,31.666,['FIRMS_N21_20260516_0744_31.1522N_75.8193E']
EVENT_11872,31.19501,76.01054,2026-05-16 07:44,2026-05-16 07:44,0.0,2,6.63,7.03,342.98,2,2,1,Transient,nominal,N21,37.084,"['FIRMS_N21_20260516_0744_31.1950N_76.0095E', 'FIRMS_N21_20260516_0744_31.1950N_76.0116E']"
EVENT_11873,31.16321,75.82419,2026-05-16 07:44,2026-05-16 07:44,0.0,1,7.22,7.22,341.8,1,1,1,Transient,low,N21,32.752,['FIRMS_N21_20260516_0744_31.1632N_75.8242E']
EVENT_11874,31.14208,75.67355,2026-05-16 07:44,2026-05-16 07:44,0.0,1,9.17,9.17,342.48,1,1,1,Transient,low,N21,36.57,['FIRMS_N21_20260516_0744_31.1421N_75.6736E']
EVENT_11875,31.11361,75.50555,2026-05-16 07:44,2026-05-16 07:44,0.0,1,7.86,7.86,337.43,1,1,1,Transient,low,N21,45.859,['FIRMS_N21_20260516_0744_31.1136N_75.5055E']
EVENT_11876,31.22475,75.96751,2026-05-16 07:44,2026-05-16 07:44,0.0,1,6.76,6.76,341.16,1,1,1,Transient,low,N21,39.374,['FIRMS_N21_20260516_0744_31.2248N_75.9675E']
EVENT_11877,31.14702,75.55767,2026-05-16 07:44,2026-05-16 07:44,0.0,1,8.78,8.78,340.01,1,1,1,Transient,low,N21,44.335,['FIRMS_N21_20260516_0744_31.1470N_75.5577E']
EVENT_11878,31.24877,76.03474,2026-05-16 07:44,2026-05-17 07:26,23.7,2,15.83,20.36,346.63,2,2,2,Recurring,nominal,N21,43.474,"['FIRMS_N21_20260516_0744_31.2487N_76.0347E', 'FIRMS_N21_20260517_0726_31.2488N_76.0347E']"
EVENT_11879,31.17478,75.62177,2026-05-16 07:44,2026-05-16 07:44,0.0,1,6.76,6.76,339.13,1,1,1,Transient,low,N21,42.447,['FIRMS_N21_20260516_0744_31.1748N_75.6218E']
EVENT_1188,31.07132,76.18918,2025-05-04 08:00,2025-05-04 08:00,0.0,1,2.56,2.56,336.06,1,1,1,Transient,nominal,N20,35.237,['FIRMS_N20_20250504_0800_31.0713N_76.1892E']
EVENT_11880,31.21831,75.83167,2026-05-16 07:44,2026-05-16 07:44,0.0,1,5.39,5.39,341.4,1,1,1,Transient,low,N21,38.633,['FIRMS_N21_20260516_0744_31.2183N_75.8317E']
