cluster_id,latitude,longitude,first_seen,last_seen,duration_hours,detection_count,average_frp,maximum_frp,average_brightness,detections_7d,detections_30d,unique_detection_days,persistence,confidence,primary_satellite,distance_to_center_km,detection_ids
EVENT_0001,30.591075,76.28558,2026-07-03 08:37,2026-07-03 08:37,0.0,2,5.6,5.75,333.88,2,2,1,Transient,nominal,N20,48.683,"['FIRMS_N20_20260703_0837_30.5921N_76.2865E', 'FIRMS_N20_20260703_0837_30.5901N_76.2847E']"
EVENT_0002,30.82466,76.13155,2026-07-05 07:58,2026-07-05 07:58,0.0,1,1.6,1.6,334.08,1,1,1,Transient,nominal,N20,22.96,['FIRMS_N20_20260705_0758_30.8247N_76.1316E']
EVENT_0003,30.89294,76.26231,2026-07-05 07:58,2026-07-05 07:58,0.0,1,3.45,3.45,338.89,1,1,1,Transient,nominal,N20,34.773,['FIRMS_N20_20260705_0758_30.8929N_76.2623E']
EVENT_0004,30.94462,76.20167,2026-07-05 07:58,2026-07-05 07:58,0.0,1,2.52,2.52,336.27,1,1,1,Transient,nominal,N20,29.925,['FIRMS_N20_20260705_0758_30.9446N_76.2017E']
EVENT_0005,30.92682,75.63877,2026-07-06 07:41,2026-07-06 07:41,0.0,1,3.19,3.19,337.66,1,1,1,Transient,nominal,N20,25.425,['FIRMS_N20_20260706_0741_30.9268N_75.6388E']
EVENT_0006,30.91256,75.52628,2026-07-06 07:41,2026-07-06 07:41,0.0,1,2.21,2.21,334.64,1,1,1,Transient,nominal,N20,35.752,['FIRMS_N20_20260706_0741_30.9126N_75.5263E']
EVENT_0007,30.84489,75.59411,2026-07-07 07:24,2026-07-07 07:24,0.0,1,3.81,3.81,343.61,1,1,1,Transient,nominal,N20,29.253,['FIRMS_N20_20260707_0724_30.8449N_75.5941E']
EVENT_0008,31.02118,75.56987,2026-07-07 07:24,2026-07-07 07:24,0.0,1,2.16,2.16,336.5,1,1,1,Transient,nominal,N20,35.27,['FIRMS_N20_20260707_0724_31.0212N_75.5699E']
EVENT_0009,30.92034,75.56538,2026-07-09 08:26,2026-07-09 08:26,0.0,1,1.86,1.86,332.22,1,1,1,Transient,nominal,N20,32.169,['FIRMS_N20_20260709_0826_30.9203N_75.5654E']
EVENT_0010,31.06181,75.4504,2026-07-09 08:26,2026-07-09 08:26,0.0,1,5.37,5.37,332.79,1,1,1,Transient,nominal,N20,47.474,['FIRMS_N20_20260709_0826_31.0618N_75.4504E']
EVENT_0011,31.06116,75.44482,2026-07-09 08:26,2026-07-09 08:26,0.0,1,5.37,5.37,331.38,1,1,1,Transient,nominal,N20,47.922,['FIRMS_N20_20260709_0826_31.0612N_75.4448E']
EVENT_0012,30.68641,75.71434,2026-07-10 08:07,2026-07-10 08:07,0.0,1,6.06,6.06,345.98,1,1,1,Transient,nominal,N20,27.425,['FIRMS_N20_20260710_0807_30.6864N_75.7143E']
EVENT_0013,30.91553,75.65636,2026-07-10 08:07,2026-07-10 08:07,0.0,1,4.26,4.26,345.26,1,1,1,Transient,nominal,N20,23.525,['FIRMS_N20_20260710_0807_30.9155N_75.6564E']
EVENT_0014,30.91224,75.56654,2026-07-10 08:07,2026-07-10 08:07,0.0,1,4.15,4.15,343.92,1,1,1,Transient,nominal,N20,31.934,['FIRMS_N20_20260710_0807_30.9122N_75.5665E']
EVENT_0015,30.90104,75.42482,2026-07-10 08:07,2026-07-10 08:07,0.0,1,1.87,1.87,334.52,1,1,1,Transient,nominal,N20,45.287,['FIRMS_N20_20260710_0807_30.9010N_75.4248E']
